Directory,"Song Name",Artist,"Song Title"
"music/ss/02. bark.mp3","Εχω Μια Βαρκα Με Κουπια","Akis Panou","Apanta No 1 1957-1967"
"music/ss/New folder/04. parpo.mp3","Καρδια Μου Μη Παραπονιεσαι","Akis Panou","Apanta No 1 1957-1967"
"music/ss/05. plbird.mp3","Πληγωμενο Πουλι","Akis Panou","Apanta No 1 1957-1967"
"music/ss/09. exes.mp3","Εχεισ Καλη Γυναικα","Akis Panou","Apanta No 1 1957-1967"
"music/ss/01. apoppin.mp3","Το Παιδι Μου Αποψε Πινει","Akis Panou","Apanta No 1 1957-1967"
"music/ss/10. eythy.mp3","Δικεσ Μου Οι Ευθυνεσ","Akis Panou","Apanta No 1 1957-1967"
"music/ss/03. apox.mp3","Απο Τη Ζωη Σου Χαθηκα","Akis Panou","Apanta No 1 1957-1967"
"music/ss/11. mimou.mp3","Μη Μου Λεσ Εμενα Τετοια","Akis Panou","Apanta No 1 1957-1967"
"music/ss/New folder (2)/12. thakl.mp3","Θα Κλεισω Τα Ματια","Akis Panou","Apanta No 1 1957-1967"
"music/ss/08. parta.mp3",Παρτα,"Akis Panou","Apanta No 1 1957-1967"
"music/ss/07. xaram.mp3","Χαραμιστηκε Η Ζωη Μου","Akis Panou","Apanta No 1 1957-1967"
"music/ss/06. thasai.mp3","Δεν Θασαι Το Φιναλε","Akis Panou","Apanta No 1 1957-1967"
